Designator,Mid X,Mid Y,Rotation,Layer
C1,80.01,-86.045,90.0,top
C2,125.095,-75.705,90.0,top
D1,158.333,-62.357,0.0,top
J1,158.767,-52.62,0.0,top
J20,124.46,-52.62,0.0,top
J21,113.03,-52.62,0.0,top
J22,101.6,-52.62,0.0,top
J25,90.17,-52.65,0.0,top
J26,67.31,-52.65,0.0,top
J27,78.74,-52.65,0.0,top
J28,135.907,-52.62,0.0,top
J29,147.337,-52.62,0.0,top
R1,160.818,-62.357,0.0,top
R10,103.96,-62.23,0.0,top
R11,59.055,-91.7,90.0,top
R12,59.055,-93.635,270.0,top
R13,88.72,-62.23,0.0,top
R14,92.53,-62.23,0.0,top
R15,65.195,-62.23,0.0,top
R16,69.005,-62.23,0.0,top
R17,76.625,-62.23,0.0,top
R18,80.435,-62.23,0.0,top
R19,135.956,-62.103,0.0,top
R2,159.385,-71.755,0.0,top
R20,147.157,-62.103,0.0,top
R3,159.385,-74.295,0.0,top
R4,159.385,-69.215,180.0,top
R5,122.985,-62.23,0.0,top
R6,126.215,-62.23,0.0,top
R7,110.945,-62.23,0.0,top
R8,114.755,-62.23,0.0,top
R9,100.15,-62.23,0.0,top
U1,71.12,-83.185,270.0,top
U2,117.475,-72.39,270.0,top
U3,152.48,-73.025,0.0,top
